#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            2     IPN
#  2002.442000     SED
#     0.100000     X
#     0.020000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.020000     ALRBIN
#     0.005000     TPBIN
#          200     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.458118     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
  0.8850 0.4404E+00 0.6289E+00 0.1142E+00 0.5469E-01 0.1602E-01
  0.8900 0.4429E+00 0.6305E+00 0.1135E+00 0.5366E-01 0.1591E-01
  0.8950 0.4454E+00 0.6321E+00 0.1127E+00 0.5265E-01 0.1580E-01
  0.9000 0.4479E+00 0.6337E+00 0.1119E+00 0.5167E-01 0.1570E-01
  0.9050 0.4504E+00 0.6353E+00 0.1112E+00 0.5071E-01 0.1559E-01
  0.9100 0.4529E+00 0.6369E+00 0.1104E+00 0.4978E-01 0.1549E-01
  0.9150 0.4554E+00 0.6385E+00 0.1097E+00 0.4886E-01 0.1539E-01
  0.9200 0.4579E+00 0.6401E+00 0.1090E+00 0.4797E-01 0.1528E-01
  0.9250 0.4604E+00 0.6417E+00 0.1083E+00 0.4710E-01 0.1518E-01
  0.9300 0.4629E+00 0.6432E+00 0.1076E+00 0.4625E-01 0.1509E-01
  0.9350 0.4654E+00 0.6448E+00 0.1069E+00 0.4542E-01 0.1499E-01
  0.9400 0.4679E+00 0.6464E+00 0.1062E+00 0.4461E-01 0.1489E-01
  0.9450 0.4704E+00 0.6479E+00 0.1055E+00 0.4382E-01 0.1480E-01
  0.9500 0.4729E+00 0.6495E+00 0.1049E+00 0.4304E-01 0.1470E-01
  0.9550 0.4754E+00 0.6510E+00 0.1042E+00 0.4229E-01 0.1461E-01
  0.9600 0.4779E+00 0.6526E+00 0.1036E+00 0.4155E-01 0.1452E-01
  0.9650 0.4804E+00 0.6541E+00 0.1029E+00 0.4082E-01 0.1443E-01
  0.9700 0.4829E+00 0.6557E+00 0.1023E+00 0.4012E-01 0.1434E-01
  0.9750 0.4854E+00 0.6572E+00 0.1016E+00 0.3943E-01 0.1425E-01
  0.9800 0.4879E+00 0.6587E+00 0.1010E+00 0.3875E-01 0.1417E-01
  0.9850 0.4904E+00 0.6602E+00 0.1004E+00 0.3809E-01 0.1408E-01
  0.9900 0.4929E+00 0.6617E+00 0.9980E-01 0.3744E-01 0.1399E-01
  0.9950 0.4954E+00 0.6632E+00 0.9920E-01 0.3681E-01 0.1391E-01
  1.0000 0.4979E+00 0.6648E+00 0.9861E-01 0.3619E-01 0.1383E-01
  1.0050 0.5004E+00 0.6663E+00 0.9802E-01 0.3559E-01 0.1374E-01
